scalebar = 274 

Index	Area	Circularity
0	241.5	0.721684761403031
1	555.0	0.5188217408634321
2	435.5	0.4245709998535283
3	597.5	0.8323309941104593
4	474.5	0.7287620635805301
5	300.5	0.6451679200391708
6	835.0	0.6400655475484339
7	332.5	0.8141244288915045
8	397.5	0.7185676641012867
9	190.5	0.7322166846282441
10	798.0	0.6976407759867812
11	261.0	0.7828794631417327
12	705.5	0.5806428444920685
13	715.5	0.6132963103877406
14	450.5	0.8182393078543068
15	568.0	0.692711836859719
16	303.5	0.6836936927560502
17	990.5	0.8204494124462666
18	1198.5	0.5599485294142084
19	580.5	0.7233281193952604
20	262.5	0.6891120206652792
21	463.0	0.4534642035277772
22	454.0	0.8551458170931713
23	302.5	0.6816787657055418
24	183.0	0.4659973321923395
25	1120.5	0.4542040270454633
26	2179.0	0.5698034733950926
27	1320.0	0.6772974421144757
28	514.0	0.6644027881461615
29	250.5	0.7504477878428506
30	1936.5	0.7110938050502392
31	760.0	0.7665608967411919
32	283.5	0.6698851926730632
33	1620.5	0.75975767525701
34	311.0	0.6677419768393033
35	464.0	0.8081873648774777
36	666.0	0.6989166930956221
37	421.5	0.7962347170584707
38	227.0	0.6324288333395515
39	615.5	0.8574054006275944
40	393.5	0.7567503562840898
41	556.0	0.4741553286165392
42	672.0	0.8546544164427856
43	373.5	0.7608757613400225
44	415.5	0.5453857988126906
45	884.0	0.5002374639497235
46	1375.5	0.7971443958901887
47	225.5	0.47067357070485905
48	497.0	0.4066797253611432
49	230.0	0.6710025092907964
50	1129.0	0.6083324947255454
51	178.0	0.7734857835636092
52	1144.5	0.8295017596121993
53	1283.5	0.8494300667133555
54	976.5	0.7446690924303578
55	485.5	0.8818095093524216
56	318.0	0.8652508871756891
57	411.0	0.8718431659197319
58	737.0	0.5995962338148991
59	1625.5	0.7436989045434612
60	870.0	0.7001421432702506
61	204.0	0.8192104140346098
62	1104.0	0.5737327312896117
63	315.5	0.7514703755771334
64	244.5	0.6447791213976628
65	242.5	0.8419989965423159
66	649.5	0.6475801482645297
67	178.5	0.614239264853057
68	357.5	0.5457328666028384
69	648.5	0.7588316204986562
70	164.5	0.6444408200450039
71	276.5	0.39959815745404764
72	181.0	0.6473356030095679
73	494.0	0.7115066220466048
74	339.5	0.7228214431486937
75	292.0	0.7230165109735233
76	289.5	0.48691870834609763
77	219.5	0.8637040108588081
78	552.5	0.5916372738526529
79	245.5	0.6251494265203243
80	455.0	0.6199770716432351
81	765.0	0.733114235190709
82	1438.5	0.41739837472306335
83	580.0	0.7384696088784608
84	192.0	0.7160343359367825
85	183.5	0.6489848392094117
86	1341.0	0.5513833756272594
87	217.0	0.744659248519933
88	246.0	0.6153465422887662
89	177.5	0.5692581690376162
90	653.0	0.7259954501790276
91	186.5	0.6803842127533322
92	221.5	0.8770651972533924
93	747.0	0.6329023562271351
94	295.5	0.7411614801277154
95	280.5	0.6200307845388955
96	416.0	0.4936264761713377
97	481.0	0.7722818674917981
98	627.5	0.7704416427940051
